date,county,fips,hosp019_mean,hosp019_best,hosp019_CI95l,hosp019_CI95u,hosp2039_mean,hosp2039_best,hosp2039_CI95l,hosp2039_CI95u,hosp4059_mean,hosp4059_best,hosp4059_CI95l,hosp4059_CI95u,hosp60_mean,hosp60_best,hosp60_CI95l,hosp60_CI95u,hosptot_mean,hosptot_best,hosptot_CI95l,hosptot_CI95u,newhosp019_mean,newhosp019_best,newhosp019_CI95l,newhosp019_CI95u,newhosp2039_mean,newhosp2039_best,newhosp2039_CI95l,newhosp2039_CI95u,newhosp4059_mean,newhosp4059_best,newhosp4059_CI95l,newhosp4059_CI95u,newhosp60_mean,newhosp60_best,newhosp60_CI95l,newhosp60_CI95u,icu019_mean,icu019_best,icu019_CI95l,icu019_CI95u,icu2039_mean,icu2039_best,icu2039_CI95l,icu2039_CI95u,icu4059_mean,icu4059_best,icu4059_CI95l,icu4059_CI95u,icu60_mean,icu60_best,icu60_CI95l,icu60_CI95u,icutot_mean,icutot_best,icutot_CI95l,icutot_CI95u,newinfec019_mean,newinfec019_best,newinfec019_CI95l,newinfec019_CI95u,newinfec2039_mean,newinfec2039_best,newinfec2039_CI95l,newinfec2039_CI95u,newinfec4059_mean,newinfec4059_best,newinfec4059_CI95l,newinfec4059_CI95u,newinfec60_mean,newinfec60_best,newinfec60_CI95l,newinfec60_CI95u,newcases019_mean,newcases019_best,newcases019_CI95l,newcases019_CI95u,newcases2039_mean,newcases2039_best,newcases2039_CI95l,newcases2039_CI95u,newcases4059_mean,newcases4059_best,newcases4059_CI95l,newcases4059_CI95u,newcases60_mean,newcases60_best,newcases60_CI95l,newcases60_CI95u,newinfectot_mean,newinfectot_best,newinfectot_CI95l,newinfectot_CI95u,cummort_mean,cummort_best,cummort_CI95l,cummort_CI95u,hosp_data,icu_data,cummort_data
2020-02-21,San Francisco County,6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,San Francisco County,6075,1.50443154633367e-07,0,0,8.98657495914385e-07,5.97002488827506e-05,0,0,0.000306854926825423,0.000106685435032322,0,0,0.00055145580378517,0.000387140247581471,0,0,0.0020158358668712,0.000553676374651177,0,0,0.00285285171336686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76074738067343e-09,0,0,1.05982394905507e-08,6.94807562204883e-07,0,0,3.85464314524104e-06,1.23940186898549e-06,0,0,7.15810655262076e-06,9.78998806736133e-06,0,0,5.05372603859691e-05,1.17259582459324e-05,0,0,6.12416530076405e-05,0.40041150046504,0,0.392113372263317,0.406285193335983,1.60743913212416,0,1.57393751257376,1.63115843845373,1.11734729708954,0,1.09400336020402,1.13387140856953,0.842716577320662,0,0.825119996244343,0.855166180765557,3.9679145069994,0,3.88517424128544,4.0264812211248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70308228133402e-07,0,0,1.39722991050997e-06,0,0,0
2020-02-23,San Francisco County,6075,1.61309827650684e-06,4.94547958086358e-07,3.65438642359575e-07,5.75199090583671e-06,0.00060140754162505,0.000323330034017538,0.000234160556553078,0.00196799386910818,0.00109199760470659,0.000653179196205316,0.000409309215439754,0.00354297460123456,0.00423797106606809,0.00254710842361578,0.00191505542724773,0.0130231778995999,0.00593298931067624,0.00352411220179672,0.00262575388785904,0.0183992041816619,4.24653974004749e-07,0,0,2.540100690938e-06,0.000168617837271123,0,0,0.000866718991317858,0.000301410702746045,0,0,0.00155735171215182,0.0010853105569743,0,0,0.005651125690845,3.03774741124723e-08,7.3195592360106e-09,4.57768246781447e-09,1.35718155166103e-07,1.15594603191125e-05,4.77952400421037e-06,2.28220264530814e-06,4.93971162129362e-05,2.07871298658306e-05,9.63407808098505e-06,4.36078610566638e-06,9.15627704961498e-05,0.000171184501148466,6.73223648574778e-05,4.89931002863553e-05,0.000645250760557563,0.000203561468807522,8.17432865019092e-05,5.66453826218367e-05,0.00078075975161374,0.389091657786578,0.399182601800039,0.320227209828447,0.419099149472765,1.56606498504477,1.60291743193723,1.30490313711978,1.68259612789469,1.08998248873932,1.11438547487777,0.913628443768425,1.16965266338454,0.822022952891417,0.840552732263716,0.688668602974463,0.88220213131102,3.86716208446208,3.95703824087876,3.2274287541023,4.15355007206301,0.015429736791443,0,0,0.0777399992542257,0.0619422246383476,0,0,0.312103667782056,0.0430566828536674,0,0,0.216951702518838,0.0324738588513276,0,0,0.163625912956071,5.01077567257044e-06,1.96239235057894e-06,1.37049937587897e-06,1.91707324922774e-05,0,0,0
2020-02-24,San Francisco County,6075,6.85714892781873e-06,3.12777821000037e-06,2.3259056417032e-06,1.60399533794135e-05,0.00247550697649903,0.00204993622294364,0.00150968639194995,0.0055170491661631,0.00453757916340255,0.00414639191300045,0.00264597024272923,0.0099389116923828,0.0182977971701771,0.016262261570461,0.0124657080668979,0.0366925456977877,0.0253177404590065,0.0224617174846151,0.017074943581332,0.0517964792318403,3.14358951749298e-06,1.38735108402554e-06,1.02856788384127e-06,7.8273179669959e-06,0.00113821468537008,0.000907591475911403,0.000662332173348629,0.00268004425449793,0.00208298849254437,0.00183408883585143,0.00115948232744194,0.0048225847875418,0.00822272008061049,0.00710841058737614,0.00538471601327815,0.0174469197970779,1.93568630460971e-07,9.24330875505639e-08,5.80638612358195e-08,5.62070743803833e-07,7.09069036159497e-05,6.03973910643666e-05,2.89734877338479e-05,0.000204901225404529,0.000128642162686293,0.000121591436430149,5.53941389100698e-05,0.000379213524561788,0.00110543932802932,0.000848017607968212,0.000628530186442652,0.00266935160439271,0.00130518196296203,0.00103009886855028,0.000726792190193777,0.00322619104303943,0.327078360000155,0.310798267829674,0.308111462856545,0.347423302691789,1.33847582297095,1.26866037451757,1.25835714142388,1.43192561439553,0.939502033517906,0.889529280718721,0.882653602757157,1.01174585026278,0.708816517687073,0.671358939477327,0.666347532774464,0.763393605728092,3.31387273417608,3.14034686254329,3.11546973981204,3.55240463333849,0.0872732547245463,0.0793614604032433,0.0755508172699913,0.125846367819741,0.351136559102556,0.318675883494736,0.303300786394279,0.50908621291582,0.244353416808502,0.221550885082821,0.210836720586743,0.355207244319925,0.184283967726438,0.167110219928373,0.159028626878308,0.267797982982058,3.57069418409213e-05,2.66693325852187e-05,1.89266263550985e-05,9.2436121880023e-05,0,0,0
2020-02-25,San Francisco County,6075,1.70898956381436e-05,8.64474455802689e-06,6.44073806796303e-06,3.23512900729284e-05,0.00611099692715067,0.00568724146639717,0.00424785238025253,0.0111997919249173,0.0112560980920122,0.0115264370931445,0.00747374982109264,0.0201991826657237,0.0462223966119189,0.0454598942388454,0.0354319140559479,0.0748669745575533,0.06360658152672,0.0626822175429451,0.0484428789854119,0.105578856742212,8.05840875493086e-06,4.20211754954183e-06,3.12960665670065e-06,1.43088587308406e-05,0.00286902343665807,0.00276081067217221,0.00205957269213646,0.0049330762910649,0.00528763768574768,0.00559184536465384,0.00362666988482695,0.00889278388172897,0.0212840683270358,0.021672011242575,0.0168399376548824,0.0320718994485498,6.6106959495172e-07,3.78377785783521e-07,2.38673714563245e-07,1.48311117434323e-06,0.000238369665212509,0.000247643527828676,0.000119942587196756,0.000541872824945555,0.000433914651993221,0.000498188838310463,0.000229471778629601,0.00100164480469239,0.00379530840404046,0.00346819392700651,0.00261015708809533,0.00704414830702067,0.00446825379084114,0.00421440467093143,0.00301929735113922,0.00850711862948067,0.353311062622565,0.323929305925578,0.319433743900108,0.412075653635061,1.47072737874967,1.3474586058208,1.32889767761083,1.72884763631047,1.04273103634059,0.955621703451824,0.942378563718775,1.23059950921308,0.789181331374956,0.724270873019345,0.714322586897645,0.930969209265428,3.65595080908778,3.35128048821755,3.30571506414057,4.30249200842404,0.133339149224308,0.125358965330027,0.121063200694068,0.168071115092797,0.54082177269602,0.507505628674491,0.489800899451124,0.686747117521963,0.377950727281016,0.3543700971357,0.341893612340382,0.48172102661671,0.285091951572489,0.267374301468944,0.257957954179967,0.363243885871338,0.000141172254816035,0.000127660988465859,9.18203670233121e-05,0.000285326400340364,0,0,0
2020-02-26,San Francisco County,6075,3.28883938565708e-05,1.731859873756e-05,1.29221609312281e-05,5.52313473165993e-05,0.0117364072495013,0.0114479093683183,0.00864241287312354,0.019244815280224,0.0217006697432647,0.0232632694741985,0.0153007972394816,0.0347877130827362,0.0901734568702566,0.0922513465634172,0.0730049002576409,0.129411485658449,0.123643422256879,0.126979844004672,0.0994693565335588,0.182225953254655,1.40249935445367e-05,7.58723776467661e-06,5.66306579595435e-06,2.17074989572296e-05,0.00498821450299086,0.00501714662257741,0.00380857830161426,0.00754019604240063,0.00923812156044139,0.0101991076934353,0.0067624033718179,0.0136362269737773,0.0374400056026695,0.0395532431381092,0.0313934142287141,0.0491081895698992,1.60610193419155e-06,9.88639878617829e-07,6.25944915013012e-07,3.08130045298129e-06,0.000575266209625226,0.000648631059797934,0.000317143725051161,0.0011287992441056,0.001048785764469,0.00130460252210939,0.000607681284547863,0.00208427442989059,0.00925222066150701,0.00906811412112473,0.00691215133667705,0.0146520133046251,0.0108778787375354,0.0110223363429107,0.00800515999612594,0.0176555380235966,0.426032378684031,0.385170816097759,0.378777249243992,0.514144393841619,1.7932630487799,1.62235359453985,1.59420625429027,2.17186409063211,1.28161128713448,1.16139237721491,1.14038698514154,1.55421588673642,0.974294638991268,0.885325665154819,0.86961064154537,1.17918142526489,4.47520135358967,4.05424245300734,3.98299666595948,5.41940579647505,0.175570508705451,0.164813888495383,0.159888596983804,0.214891963805814,0.719389140867108,0.674438070986639,0.653654404159535,0.886878779676461,0.505682456923549,0.473934188235102,0.459143363560079,0.625710290403682,0.381949696987929,0.358232989369591,0.347125195239053,0.472554610377057,0.000398273340177371,0.000391569119529819,0.00028502221715333,0.000686175847813058,0,0,0
2020-02-27,San Francisco County,6075,5.48582631448575e-05,2.94125577525125e-05,2.19694115774601e-05,8.5517118306144e-05,0.0196010201102067,0.0195467387603233,0.0148848672119025,0.0299849042235474,0.0363744364720922,0.0398480117645424,0.0265513644683219,0.0543717863585417,0.152528184131101,0.158864413822824,0.127348975867198,0.203030459361463,0.208558498976545,0.218288576905442,0.172972653487092,0.285221959600535,2.08910540962493e-05,1.14025418659964e-05,8.52273371140439e-06,3.04285605203454e-05,0.00745895695930626,0.00759840909324017,0.00584429164643845,0.010584250964032,0.0138812473667655,0.0155197651770891,0.0104883587956356,0.0192218930886188,0.056484442067716,0.0602795997397147,0.0486280030588773,0.0691201958951002,3.19432020542362e-06,2.03678598146779e-06,1.29267221401569e-06,5.53636168384425e-06,0.00114123119860912,0.00134040827690811,0.000660962279092795,0.00203409720856713,0.0020827545510859,0.00269685753832319,0.00126707022720217,0.00375270748504534,0.0184644859475549,0.0187237734154453,0.014428348743359,0.0263816808220637,0.0216916660174553,0.0227630760166581,0.0167356172473365,0.0317327597003744,0.533935210481483,0.479280148962976,0.469137329854344,0.651315430279626,2.26205950604972,2.03342956978934,1.98894354041232,2.76216464672007,1.62618481447083,1.46570127992059,1.4341149446792,1.98436102976959,1.241532031504,1.12334303752844,1.10154427136923,1.50940477028995,5.66371156250603,5.10175403620136,4.99116787248486,6.90724587705923,0.223645768484509,0.208592948965642,0.20266730585551,0.272410121707726,0.925571222548429,0.862814816958738,0.837360599124084,1.13394102334573,0.654762610343709,0.61064636705142,0.592371216132136,0.804392915054002,0.495760475545315,0.463055178551062,0.449333574667709,0.60864405730139,0.000911205942156148,0.000936164561639014,0.000688865221101455,0.00140745765526744,0,0,0
2020-02-28,San Francisco County,6075,8.39010954810514e-05,4.53501373961963e-05,3.38972161397308e-05,0.000125912295568943,0.0300642270645187,0.0303092037055093,0.0232420387200296,0.0439103136947386,0.0559958028034293,0.0620111691338458,0.0418175569885994,0.079921270972084,0.236591094437793,0.248511951689422,0.201231979072261,0.299358434908195,0.322735025401222,0.340877674666173,0.27264269906904,0.419648357741255,2.89014740838919e-05,1.57711047660465e-05,1.17962129240579e-05,4.24857683861918e-05,0.010377650177957,0.0105948794716369,0.00824459997862681,0.0142341963855452,0.0194107467311319,0.0217573013583562,0.0149502557282655,0.0259608095221192,0.0792511254990303,0.0847087053930349,0.0693353718734078,0.0932172420499201,5.59305195363915e-06,3.6331022157467e-06,2.31153190244802e-06,9.04179404138321e-06,0.00199763175940149,0.00239940409381476,0.00119214983333532,0.00333194647659297,0.00364932236460623,0.0048314461875113,0.00228744324288098,0.00614537215624991,0.0324607772109673,0.0335197698488756,0.0261093915972748,0.0431869229144217,0.0381133243869287,0.0407542532324174,0.0302948050901962,0.0519218589649863,0.677991108332722,0.605342459567373,0.59034333824341,0.829628197054425,2.88336488998891,2.57926113439559,2.51489848936268,3.52655753962482,2.08191747837806,1.86858350670706,1.82433223909693,2.54093744735699,1.59518990180858,1.43847855000421,1.40700546339972,1.93686694643131,7.23846337850826,6.49166565067423,6.33689157354911,8.83399013046755,0.283202826374692,0.262370096496856,0.254964983851315,0.345243510576419,1.1821689388188,1.09544390743249,1.06336090134382,1.44709303921153,0.841403902891036,0.7806888019127,0.757562843263981,1.03158780828906,0.639051817304158,0.594366797639551,0.576767292832678,0.782155129851801,0.00181254283953625,0.00191053287301241,0.00141987838561411,0.00258853899591897,0,0,0
2020-02-29,San Francisco County,6075,0.000121355353673666,6.57931252424773e-05,4.91942868566494e-05,0.00017594707708547,0.0436439912439455,0.0442223311858795,0.0341000704727952,0.0617182854479774,0.0815890456601842,0.0908261905676228,0.0619422516744323,0.112786140289395,0.346997824302502,0.365819004881035,0.29911696111572,0.423230452622118,0.472352216560306,0.50093331975978,0.4050704277001,0.592572286409961,3.84985404442655e-05,2.09310171877877e-05,1.57795935262575e-05,5.66359909377445e-05,0.0139080001307655,0.0141711551752786,0.011111854013847,0.0187126707984901,0.0261460279593168,0.0292661726821062,0.020395994815141,0.0342642250117423,0.107100147640165,0.114288342016143,0.094743478510133,0.122722797299743,8.9870377037102e-06,5.89599944904311e-06,3.77153031921373e-06,1.43315574395535e-05,0.0032131221179089,0.00390887350531401,0.00195526610545317,0.00510907062519318,0.00587648161206642,0.00788076039776606,0.00375701518697634,0.00942520490065701,0.0524081404905276,0.0546611842056992,0.0428800803498593,0.0662670771501081,0.0615067312582066,0.0664567141082283,0.0498594986946426,0.0796268039945835,0.865142795924286,0.768714764498481,0.747334173602638,1.05921090237571,3.68785856518647,3.28395666099442,3.19445670582551,4.50868178892819,2.67166377759224,2.38822516626366,2.3268917251194,3.25590412318767,2.052956198019,1.8449135355502,1.80035866605573,2.48606901943712,9.27762133672199,8.28581012730677,8.07144045062527,11.3098658339287,0.358979898045495,0.330508335987115,0.32081192489882,0.438354183700907,1.50879206090729,1.39031289913303,1.34892382629466,1.84703266213988,1.07974985232717,0.997034738654673,0.967119541244446,1.32221282177621,0.822766495682259,0.762235457168036,0.739000483134178,1.00459330018591,0.00326701259834276,0.00349851130665162,0.00262392458663844,0.00440075386266818,0,0,0
2020-03-01,San Francisco County,6075,0.000169110994904375,9.16983971417151e-05,6.87806051782247e-05,0.000246751198726881,0.0610581984760673,0.0619736667185011,0.0479972340895627,0.0843996673206515,0.114563143373329,0.127791000211901,0.0880812418697246,0.154783403085718,0.490071139841077,0.517166991142912,0.426854129982057,0.581235795214288,0.665861592685377,0.707023356470456,0.577520859543744,0.813707283021955,5.0270475538642e-05,2.71955347056213e-05,2.07233868813732e-05,7.40387312213461e-05,0.0182656205667748,0.0185424259847061,0.0145981202189071,0.0242820320202884,0.0345051660727864,0.0385061038854893,0.0270518780819322,0.0446474976129336,0.141802317807409,0.150878309539604,0.126510949349353,0.159651636322478,1.35965780483993e-05,8.96467223105635e-06,5.76612951067143e-06,2.13554583188786e-05,0.00487002432632234,0.00596718045069126,0.00300274375653123,0.00747860333151359,0.00891863355338469,0.0120500842601435,0.00578045919208031,0.013793939953565,0.0797223516159965,0.0835946487960121,0.0659850485192405,0.0970577385000061,0.0935246060737519,0.101620878179078,0.0768938629391857,0.116616435551006,1.10641432083558,0.97855390305201,0.949084535630975,1.35395246024925,4.72309570358453,4.18725728514693,4.06433080795297,5.76785008317288,3.43046262057016,3.05410470775227,2.96972886517894,4.17256177149937,2.64198619142987,2.36565688583621,2.30343058956301,3.19024829490583,11.9019588364201,10.5855727817874,10.2908289068689,14.4846126098273,0.456137224605032,0.417567498649287,0.404198837161784,0.557698896411522,1.9271723861242,1.76662411689552,1.7094084505856,2.35893971264576,1.38561704756982,1.27369477942634,1.23198218274622,1.69455011601373,1.05914291652771,0.977547447556023,0.94506295996894,1.29004081293582,0.00547834593116587,0.00592564811685311,0.00448201466305887,0.00705427558196466,0,0,0
