date,county,fips,hosp019_mean,hosp019_best,hosp019_CI95l,hosp019_CI95u,hosp2039_mean,hosp2039_best,hosp2039_CI95l,hosp2039_CI95u,hosp4059_mean,hosp4059_best,hosp4059_CI95l,hosp4059_CI95u,hosp60_mean,hosp60_best,hosp60_CI95l,hosp60_CI95u,hosptot_mean,hosptot_best,hosptot_CI95l,hosptot_CI95u,newhosp019_mean,newhosp019_best,newhosp019_CI95l,newhosp019_CI95u,newhosp2039_mean,newhosp2039_best,newhosp2039_CI95l,newhosp2039_CI95u,newhosp4059_mean,newhosp4059_best,newhosp4059_CI95l,newhosp4059_CI95u,newhosp60_mean,newhosp60_best,newhosp60_CI95l,newhosp60_CI95u,icu019_mean,icu019_best,icu019_CI95l,icu019_CI95u,icu2039_mean,icu2039_best,icu2039_CI95l,icu2039_CI95u,icu4059_mean,icu4059_best,icu4059_CI95l,icu4059_CI95u,icu60_mean,icu60_best,icu60_CI95l,icu60_CI95u,icutot_mean,icutot_best,icutot_CI95l,icutot_CI95u,newinfec019_mean,newinfec019_best,newinfec019_CI95l,newinfec019_CI95u,newinfec2039_mean,newinfec2039_best,newinfec2039_CI95l,newinfec2039_CI95u,newinfec4059_mean,newinfec4059_best,newinfec4059_CI95l,newinfec4059_CI95u,newinfec60_mean,newinfec60_best,newinfec60_CI95l,newinfec60_CI95u,newinfectot_mean,newinfectot_best,newinfectot_CI95l,newinfectot_CI95u,newcases019_mean,newcases019_best,newcases019_CI95l,newcases019_CI95u,newcases2039_mean,newcases2039_best,newcases2039_CI95l,newcases2039_CI95u,newcases4059_mean,newcases4059_best,newcases4059_CI95l,newcases4059_CI95u,newcases60_mean,newcases60_best,newcases60_CI95l,newcases60_CI95u,newcasestot_mean,newcasestot_best,newcasestot_CI95l,newcasestot_CI95u,cummort_mean,cummort_best,cummort_CI95l,cummort_CI95u,hosp_data,icu_data,cummort_data
2/13/20,Santa Clara County,6085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/20,Santa Clara County,6085,1.98E-05,2.03E-05,1.71E-05,2.34E-05,5.05E-05,2.73E-05,2.18E-05,8.29E-05,0.000716777,0.000774078,0.00062553,0.000813166,0.002573721,0.002674829,0.002327631,0.002883523,0.003360805,0.003496504,0.003018646,0.003749137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85E-07,2.02E-07,1.56E-07,2.14E-07,4.77E-07,2.75E-07,2.00E-07,7.63E-07,7.22E-06,8.29E-06,6.29E-06,8.41E-06,3.05E-05,3.30E-05,2.75E-05,3.43E-05,3.84E-05,4.18E-05,3.45E-05,4.32E-05,0.5958175,0.592825265,0.587124614,0.607954638,1.142356795,1.136635291,1.125699026,1.165631751,1.045576315,1.040343808,1.030332708,1.06686334,0.680253557,0.676843728,0.67033284,0.694080719,3.464004167,3.446648093,3.413489189,3.534530448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81E-06,1.98E-06,1.63E-06,2.04E-06,0,0,0
2/15/20,Santa Clara County,6085,0.000122615,0.000125253,0.000106278,0.000144442,0.000314166,0.000169418,0.000136153,0.000513234,0.004462178,0.004804011,0.003916153,0.005033236,0.016046802,0.016622867,0.014588577,0.017858502,0.020945761,0.021721549,0.018937263,0.023216171,5.53E-05,5.66E-05,4.78E-05,6.54E-05,0.000141445,7.64E-05,6.10E-05,0.000231752,0.002005431,0.002161941,0.001755159,0.002270352,0.007190513,0.007460821,0.006522175,0.008036195,2.34E-06,2.54E-06,1.98E-06,2.69E-06,6.04E-06,3.47E-06,2.53E-06,9.66E-06,9.14E-05,0.0001046,8.00E-05,0.000106012,0.00038627,0.000416654,0.000350401,0.000431751,0.000486062,0.000527263,0.000439278,0.000543488,0.431415717,0.428935501,0.418650462,0.445393378,0.838678308,0.833901056,0.814168489,0.865620336,0.773523313,0.769111672,0.751329919,0.797988667,0.503673815,0.500749353,0.489561932,0.519267413,2.547291152,2.532697583,2.473710802,2.628269794,0.104736013,0.10523992,0.103299187,0.106338816,0.200809651,0.201778524,0.198050065,0.203881665,0.183797059,0.184684604,0.181269691,0.186602904,0.126610457,0.127220769,0.124870769,0.128535981,0.61595318,0.618923816,0.607489712,0.625359367,2.48E-05,2.69E-05,2.24E-05,2.77E-05,0,0,0
2/16/20,Santa Clara County,6085,0.000331017,0.000337182,0.000288099,0.000387841,0.000850957,0.00045757,0.000370523,0.001387163,0.012112594,0.013003793,0.010684058,0.013592855,0.043636878,0.045067911,0.039871292,0.048257007,0.056931446,0.058866457,0.051779752,0.06272164,0.00016312,0.000166064,0.000142101,0.000191393,0.000418772,0.000225009,0.000181717,0.000682974,0.005947384,0.006380865,0.005238443,0.006682374,0.021327655,0.02202268,0.019503646,0.023615992,9.57E-06,1.03E-05,8.13E-06,1.09E-05,2.48E-05,1.41E-05,1.04E-05,3.96E-05,0.000374662,0.000427226,0.000329134,0.000432793,0.001583578,0.001702034,0.001439797,0.001762696,0.001992563,0.002153756,0.001806971,0.00221897,0.412553148,0.410158864,0.395962708,0.428710416,0.816462168,0.811731006,0.784453832,0.847753241,0.761745602,0.757248065,0.733138463,0.789728758,0.498177276,0.495069593,0.48056193,0.515391023,2.488938194,2.474207529,2.394116932,2.581583438,0.162140854,0.162682819,0.158723879,0.165922548,0.312926922,0.313984503,0.306365927,0.320195013,0.287464681,0.288436639,0.281493836,0.294059089,0.198103754,0.198762754,0.194057375,0.2025589,0.96063621,0.963866715,0.940615753,0.982735551,0.000119001,0.000128915,0.00010784,0.000132546,0,0,0
2/17/20,Santa Clara County,6085,0.000645684,0.00065603,0.000563948,0.000752896,0.001666817,0.000893946,0.000728749,0.00272022,0.023792952,0.025478598,0.021077585,0.026554615,0.085900461,0.088474503,0.078880342,0.094529643,0.112005914,0.115503077,0.10241405,0.122812512,0.000284806,0.000288707,0.000249338,0.00033183,0.00073523,0.000393294,0.000320543,0.00120145,0.010472738,0.011187992,0.009292141,0.011653707,0.037583437,0.038639805,0.034621937,0.041360841,2.49E-05,2.68E-05,2.12E-05,2.83E-05,6.46E-05,3.68E-05,2.71E-05,0.000103204,0.000978646,0.001112185,0.000862915,0.001126203,0.004138038,0.004432451,0.003770812,0.004576825,0.005206135,0.005608233,0.004739391,0.00577302,0.457224339,0.454373234,0.436659242,0.476646925,0.916690847,0.910886502,0.876863391,0.954354547,0.863898642,0.858194704,0.828799235,0.896961477,0.568469609,0.564363251,0.547592884,0.587997437,2.806283437,2.787817691,2.689914752,2.915960386,0.206127869,0.206583846,0.200279398,0.212261497,0.401424584,0.40232985,0.390155894,0.413300459,0.370840288,0.371665827,0.360676218,0.381493895,0.256008985,0.256538825,0.249250017,0.26302606,1.234401727,1.237118348,1.200361527,1.270118602,0.000365163,0.000394463,0.000331689,0.000405135,0,0,0
2/18/20,Santa Clara County,6085,0.001064951,0.001079522,0.000933037,0.001236736,0.002762251,0.001477987,0.001211981,0.004512186,0.03956398,0.042269337,0.035176262,0.043954372,0.143201177,0.147121768,0.132064817,0.15669617,0.186592359,0.191948614,0.171415354,0.203726124,0.000411772,0.000415849,0.000361393,0.000477018,0.001070181,0.000570254,0.000468303,0.001751695,0.015306358,0.016290575,0.013670924,0.016922136,0.055015114,0.056344963,0.050996223,0.060236903,5.09E-05,5.47E-05,4.36E-05,5.76E-05,0.000132478,7.52E-05,5.56E-05,0.000211782,0.002012175,0.002279452,0.001780144,0.002307343,0.008513816,0.009090127,0.007785573,0.009383468,0.010709388,0.011499488,0.009789881,0.011822542,0.537060283,0.533234415,0.511353356,0.560972733,1.085328052,1.077379938,1.035442961,1.131643055,1.0304957,1.022503403,0.987036869,1.070955269,0.682056665,0.676160672,0.656936761,0.706247652,3.3349407,3.309278427,3.190769947,3.468671218,0.250226594,0.250531906,0.241676212,0.258672859,0.491979557,0.49258936,0.475452174,0.508347833,0.457517729,0.458041304,0.442740353,0.472059139,0.316825402,0.31708936,0.30721457,0.326140999,1.516549282,1.51825193,1.467083309,1.56522083,0.0008716,0.00093902,0.000794387,0.000963399,0,0,0
2/19/20,Santa Clara County,6085,0.001591107,0.001609515,0.001397691,0.001841621,0.004148074,0.002214807,0.001825579,0.006780682,0.05964165,0.063586085,0.053192006,0.065989223,0.216496845,0.221908666,0.200396511,0.23592355,0.281877675,0.289319072,0.260022501,0.306623221,0.000545894,0.000549531,0.00047979,0.000628557,0.001429132,0.000759002,0.000627122,0.002342054,0.020540691,0.021791024,0.018446558,0.022593558,0.074003671,0.075539788,0.068957356,0.080641115,8.99E-05,9.63E-05,7.72E-05,0.000101224,0.000234864,0.000132944,9.87E-05,0.000375404,0.00357546,0.004038179,0.003172615,0.004086323,0.015142993,0.016118502,0.01389767,0.016640707,0.019043253,0.020385933,0.017474356,0.020943738,0.643962599,0.638629537,0.611594167,0.674202807,1.307684256,1.296484622,1.244828406,1.367069878,1.248425039,1.237016753,1.194112624,1.300624793,0.830293859,0.82178294,0.799530258,0.861133615,4.030365752,3.993913853,3.850065455,4.203052436,0.300598723,0.300669204,0.288901687,0.311745968,0.596254952,0.596376926,0.573589583,0.617829641,0.558244598,0.558252581,0.53815797,0.577088964,0.388104564,0.387915967,0.375330033,0.399748016,1.843202837,1.843214678,1.775979273,1.906412589,0.001772292,0.001904543,0.001620329,0.001952062,0,0,0
2/20/20,Santa Clara County,6085,0.002232288,0.002253839,0.001965512,0.002573044,0.005850153,0.00311761,0.002581311,0.009567355,0.084462777,0.089875067,0.075532257,0.093096779,0.307572718,0.314582455,0.285642793,0.334256771,0.400117936,0.409828971,0.370441981,0.433874965,0.000692653,0.000695372,0.000608964,0.000793968,0.00182655,0.000967339,0.000803125,0.002995528,0.026393023,0.027922076,0.023771424,0.028911332,0.095375165,0.097072422,0.089278642,0.103643361,0.000144144,0.000153917,0.000124015,0.00016159,0.000377925,0.000213309,0.000158912,0.000603916,0.005768422,0.006496411,0.005132373,0.006570378,0.024461841,0.025962008,0.022520491,0.026784041,0.030752332,0.032825644,0.028316583,0.033737928,0.777862329,0.770452101,0.737108616,0.816805795,1.584534835,1.568883664,1.505387381,1.661007221,1.518926228,1.502870298,1.450905708,1.585937803,1.014068512,1.002039074,0.976054705,1.053364719,4.895391904,4.844245137,4.669456411,5.117178571,0.360898051,0.360606162,0.345411106,0.37541252,0.7212809,0.720629819,0.69122223,0.749235435,0.679574529,0.678755962,0.65314925,0.703712073,0.474461274,0.473556852,0.457994044,0.489113636,2.236214754,2.233548796,2.14777663,2.317473664,0.003227112,0.003459551,0.00295891,0.00354399,0,0,0
2/21/20,Santa Clara County,6085,0.003003084,0.003026812,0.002648036,0.003455504,0.007911039,0.004208439,0.003489185,0.012940639,0.114708531,0.121840007,0.1028254,0.125958093,0.419125497,0.42781147,0.390361813,0.45475271,0.544748152,0.556886728,0.505978899,0.589914412,0.000858917,0.000860287,0.000754598,0.000983156,0.002280467,0.001204825,0.001004116,0.003741043,0.033130722,0.034965754,0.029892044,0.036159934,0.120131477,0.121956773,0.112896771,0.130081459,0.000215856,0.000229875,0.000186176,0.000241498,0.000568281,0.000319881,0.000239122,0.000907768,0.008698932,0.009770405,0.007758747,0.009874367,0.036946309,0.039103821,0.034076715,0.04032852,0.046429379,0.049423983,0.042887959,0.050820578,0.942297982,0.932047573,0.891029163,0.992176109,1.923604191,1.901903808,1.824043032,2.021557102,1.849742913,1.827413987,1.764451941,1.935472029,1.238641205,1.221913478,1.190130688,1.285943317,5.954286292,5.883278846,5.670883664,6.238044179,0.434123268,0.433292666,0.414005532,0.453015966,0.872987695,0.871174704,0.833901912,0.909352355,0.827127124,0.825063277,0.79299822,0.858187933,0.579864291,0.577896619,0.558959958,0.598261847,2.714102377,2.707427265,2.599865623,2.818818101,0.005424165,0.00580143,0.004986681,0.005936515,0,0,0
2/22/20,Santa Clara County,6085,0.003924945,0.003949578,0.003460744,0.004511531,0.010391253,0.005518755,0.004581669,0.016993357,0.15132406,0.160460375,0.135928535,0.165698621,0.554835908,0.565249494,0.517562393,0.601229535,0.720476166,0.735178202,0.671150458,0.779063204,0.001052389,0.001051962,0.000925228,0.001204147,0.002811232,0.001482142,0.001238967,0.004608034,0.041054953,0.043236991,0.037155819,0.044690935,0.149394194,0.15131839,0.140567895,0.161046202,0.000307743,0.000326906,0.0002656,0.000343887,0.000813578,0.000456791,0.000342578,0.001297705,0.012492195,0.013995214,0.011166636,0.014135703,0.053152297,0.056108539,0.049106524,0.057784379,0.066765813,0.07088745,0.061851713,0.072913682,1.14351256,1.129500613,1.079139555,1.207175293,2.337843039,2.308153502,2.212840888,2.462893842,2.253550899,2.222970667,2.146638511,2.363005204,1.512614668,1.48975246,1.451886251,1.569678909,7.247521166,7.150377241,6.892223255,7.60973953,0.523367362,0.521748254,0.497543577,0.547626106,1.057620664,1.054104225,1.007420514,1.104277404,1.006895397,1.003012728,0.96329604,1.046390364,0.708564319,0.705067572,0.682321703,0.731476986,3.296447742,3.283932778,3.150484099,3.42977086,0.008584519,0.009161286,0.007911861,0.009374794,0,0,0
