date,county,fips,hosp019_mean,hosp019_best,hosp019_CI95l,hosp019_CI95u,hosp2039_mean,hosp2039_best,hosp2039_CI95l,hosp2039_CI95u,hosp4059_mean,hosp4059_best,hosp4059_CI95l,hosp4059_CI95u,hosp60_mean,hosp60_best,hosp60_CI95l,hosp60_CI95u,hosptot_mean,hosptot_best,hosptot_CI95l,hosptot_CI95u,newhosp019_mean,newhosp019_best,newhosp019_CI95l,newhosp019_CI95u,newhosp2039_mean,newhosp2039_best,newhosp2039_CI95l,newhosp2039_CI95u,newhosp4059_mean,newhosp4059_best,newhosp4059_CI95l,newhosp4059_CI95u,newhosp60_mean,newhosp60_best,newhosp60_CI95l,newhosp60_CI95u,icu019_mean,icu019_best,icu019_CI95l,icu019_CI95u,icu2039_mean,icu2039_best,icu2039_CI95l,icu2039_CI95u,icu4059_mean,icu4059_best,icu4059_CI95l,icu4059_CI95u,icu60_mean,icu60_best,icu60_CI95l,icu60_CI95u,icutot_mean,icutot_best,icutot_CI95l,icutot_CI95u,newinfec019_mean,newinfec019_best,newinfec019_CI95l,newinfec019_CI95u,newinfec2039_mean,newinfec2039_best,newinfec2039_CI95l,newinfec2039_CI95u,newinfec4059_mean,newinfec4059_best,newinfec4059_CI95l,newinfec4059_CI95u,newinfec60_mean,newinfec60_best,newinfec60_CI95l,newinfec60_CI95u,newcases019_mean,newcases019_best,newcases019_CI95l,newcases019_CI95u,newcases2039_mean,newcases2039_best,newcases2039_CI95l,newcases2039_CI95u,newcases4059_mean,newcases4059_best,newcases4059_CI95l,newcases4059_CI95u,newcases60_mean,newcases60_best,newcases60_CI95l,newcases60_CI95u,newinfectot_mean,newinfectot_best,newinfectot_CI95l,newinfectot_CI95u,cummort_mean,cummort_best,cummort_CI95l,cummort_CI95u,hosp_data,icu_data,cummort_data
2020-02-24,Ventura County,6111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,Ventura County,6111,7.08421712581509e-06,0,0,1.76554024229684e-05,1.84346527384692e-05,0,0,4.43022819882898e-05,0.000248435687193562,0,0,0.000594467813081929,0.000775873624408602,0,0,0.00181856099986153,0.00104982818146645,0,0,0.00246759163760922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73458822211239e-07,0,0,4.64622756130611e-07,4.48671607385537e-07,0,0,1.06095386780196e-06,6.03421086796751e-06,0,0,1.55423567519942e-05,4.2005316842183e-05,0,0,9.79665938253076e-05,4.86616581397473e-05,0,0,0.00011494289742379,0.598379370089849,0,0.594799624259253,0.609429622624148,0.951514543472778,0,0.945779932597092,0.969112908283552,0.957993928966724,0,0.952201782364104,0.975714718806362,0.748060314305352,0,0.743546584443649,0.761880711307108,3.2559481568347,0,3.2363279236641,3.31613796102117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42172322193506e-07,0,0,4.41148766422778e-06,0,0,0
2020-02-26,Ventura County,6111,3.84136877216584e-06,0,0,9.04618047671019e-05,9.87524053568351e-06,0,0,0.000233142185948339,0.000136335351864336,0,0,0.00317061779634428,0.000426394093500006,0,0,0.0100610372511659,0.000576446054672191,0,0,0.0137040681564156,1.96564912880732e-05,0,0,4.88813600019501e-05,5.11835008022145e-05,0,0,0.000123034204140122,0.000689999945617772,0,0,0.00164744547250319,0.00214418635791237,0,0,0.00501679936151817,1.69076643851654e-07,0,0,4.13953613033651e-06,4.3337929114718e-07,0,0,1.06954852144704e-05,5.89227668258105e-06,0,0,0.000143828644280667,4.08722682387284e-05,0,0,0.00103501050934604,4.73670008563083e-05,0,0,0.00119618608284396,0.513287138745088,0,0.397818315913205,0.612377148512419,0.820693147078449,0,0.642092877785967,0.973833859644878,0.828921998102974,0,0.652123152172031,0.980484216321583,0.647395624509754,0,0.509574369255133,0.765601487733248,2.81029790843626,0,2.20160871512634,3.33229671221213,0.0533075072572236,0,0,0.117564615639699,0.0847671024985987,0,0,0.186950850999399,0.0853443415769902,0,0,0.188224401361618,0.066642082668013,0,0,0.146973841872733,1.9819734394759e-06,0,0,5.56635909070559e-05,0,0,0
2020-02-27,Ventura County,6111,2.28817010786414e-05,1.45614291063548e-05,0,0.000237965821593847,6.032267421786e-05,3.83545753973802e-05,0,0.000616727036332004,0.000836199963809536,0.000511537415531035,0,0.00845555381920466,0.00273336395228724,0.00180861760404521,0,0.0269770731593425,0.00365276829139328,0.00237307102407998,0,0.0365685482079431,5.90149941384704e-06,0,0,0.000118903383278197,1.50222667142305e-05,0,0,0.000307144246168081,0.000211643944916013,0,0,0.00418153123597542,0.000655548079861174,0,0,0.0131505435411137,9.82439785859602e-07,3.16912004681473e-07,0,1.5353700030132e-05,2.53799317263334e-06,8.33011094034795e-07,0,4.00732544353952e-05,3.49735057745199e-05,1.10573862162307e-05,0,0.00053330788709631,0.000242768520510451,8.17964804100742e-05,0,0.0038476737237344,0.000281262459243464,9.40037897250211e-05,0,0.00444342587109721,0.603905111300963,0.617812400687585,0.375927129414712,0.629004984415865,0.961306203990884,0.982274397316147,0.618174924329793,1.00008108516489,0.968474152243699,0.98887177609878,0.635813997624096,1.00678983763427,0.756308115283447,0.772158379428683,0.498753479336703,0.786128157428713,3.28999358281899,3.36111695353119,2.1286695307053,3.42200406464373,0.0107189007249202,0,0,0.168736797858763,0.0171109493798445,0,0,0.270159222582571,0.0172657566306186,0,0,0.273070581789774,0.0134845409256006,0,0,0.213311576698101,1.42355656883723e-05,4.13012410813092e-06,0,0.000249180444896375,0,0,0
2020-02-28,Ventura County,6111,9.84136629325707e-05,9.0115267314779e-05,1.34716319976186e-05,0.000460208176340375,0.00026388469796264,0.000237827125552023,3.62495112147568e-05,0.00119568930494124,0.00363978618159993,0.00317413105724445,0.000500075571395612,0.0164323138223631,0.0121734968682336,0.0112670037172149,0.00184224852748075,0.0526079357527787,0.0161755814107287,0.0147690771673261,0.0023931707732438,0.0712379301792563,4.38891171012997e-05,4.0583412712032e-05,0,0.000201689546561604,0.000117428115520307,0.000106951619129114,0,0.00052383695959556,0.00162206177075882,0.00142693892769976,0,0.00721974810615679,0.0053667504385771,0.00502090861807194,0,0.022783538958814,5.38089421654557e-06,3.79325973328628e-06,3.06147871629393e-07,3.72924904209319e-05,1.42043160732898e-05,9.96521319884513e-06,8.37627023414551e-07,9.7406941743336e-05,0.000194486916263247,0.000131706308584968,1.13768676377682e-05,0.00129126324013746,0.00135592179817081,0.000972621639544311,8.79854423570823e-05,0.00930904271967689,0.00156999392472389,0.00111808642106141,0.000100897420097929,0.0107512415121391,0.45630698351608,0.435656623749023,0.395305817079135,0.629918493917772,0.735408077871546,0.702375128909439,0.651086696719519,1.00155346306553,0.746141541287462,0.712615941186099,0.669123440935191,1.00827930568617,0.582851692480069,0.556502822869073,0.524523116804068,0.787286944544469,2.52070829515516,2.40715051671363,2.24093524670666,3.42703820721394,0.108494573921088,0.113574690594191,0,0.206629864240474,0.172749003826637,0.180575059078801,0,0.333889272264938,0.174061613538853,0.181787879108209,0,0.339536077099019,0.135932426092983,0.14194867072225,0,0.265688016755151,8.30490096225128e-05,5.32005738339196e-05,4.47202103973523e-06,0.000716874993282143,0,0,0
2020-02-29,Ventura County,6111,0.000247423739899679,0.000242899294097127,8.32919602960721e-05,0.000752619874720886,0.000668674289944197,0.0006429328479032,0.000224518336391333,0.00196183533760089,0.00921195013713827,0.00859110007726123,0.0030993876203238,0.0270283529460102,0.0311108547879169,0.0305940283275131,0.0114587175704754,0.0868155505204792,0.041238902954899,0.0400709605467747,0.0148847527601971,0.117424620446489,0.000117568049181234,0.000119151208414243,3.75266298572527e-05,0.000288262075026406,0.000318031018873734,0.00031510805244613,0.000101036310257508,0.000752412746859627,0.00438217637675167,0.00421177955430658,0.00139424305298866,0.0104210713043379,0.0146589069529319,0.014819743357803,0.0051138393541001,0.0329811273275473,1.75541269638933e-05,1.470219060641e-05,3.63785021120828e-06,7.15167062579706e-05,4.67684123437612e-05,3.86303238601507e-05,9.93218898963001e-06,0.000187037985715799,0.000636096909734267,0.000508509104525762,0.000134635170434518,0.00247094738455137,0.00444302512616156,0.00374890432706299,0.00103972320699638,0.0178098099027879,0.00514344457520348,0.00431074594605532,0.00119274072972052,0.020565042496026,0.42276579744405,0.411813172433991,0.400002089406882,0.463049245864191,0.693176099163724,0.675588554380873,0.657166493056797,0.77631023506453,0.711042274359823,0.693146322287222,0.675231996303073,0.81307438138284,0.556857976731764,0.542843897784706,0.52916046461129,0.645680599168871,2.38384214769936,2.32339194688679,2.26160174536899,2.69811446148043,0.173129153611387,0.172761826662827,0.115496892510815,0.243857866441978,0.277351536080983,0.276496439158418,0.183633629208834,0.397823751248297,0.280423100391096,0.279368499516541,0.1848659081358,0.407414306587513,0.219042448800841,0.218172153957085,0.144349001295759,0.319770353752868,0.000308818012202447,0.000242176358266994,5.72938178402969e-05,0.00161067627027938,0,0,0
2020-03-01,Ventura County,6111,0.000471310892824342,0.000473073359311128,0.000224420546745027,0.00111431986065628,0.00128120617928631,0.00125678071944873,0.0006065423051268,0.00291586654139685,0.0176581997693516,0.0168214374044876,0.00838453161009963,0.0402740111808494,0.0599653443992996,0.060063953842954,0.0310835512073355,0.12977454226147,0.0793760612407619,0.0786152453262014,0.0403599488293241,0.17531292126182,0.00020275742714271,0.000207315447725124,0.000110065740866569,0.00037764366992565,0.000552576678923319,0.000551156115678511,0.000297321469068299,0.00099168967523178,0.00762618690797915,0.00738910448679422,0.00411110450402637,0.0138045168579158,0.02562227098198,0.0260096681265922,0.0150821897495716,0.0438596226860904,4.07755792118335e-05,3.63521002459146e-05,1.40308208126701e-05,0.000118895753671173,0.000109175763283112,9.55911115438953e-05,3.81886697061774e-05,0.000311475595964891,0.00147708542224851,0.00125372586803989,0.000516790355603591,0.00410289774385045,0.0103236848924113,0.00922876309439209,0.00398536016046236,0.0295825558660923,0.0119507216571547,0.0106144321742218,0.00456898369622993,0.0341443831024453,0.461515346451791,0.452782237427354,0.417847112960817,0.543754144452502,0.766084614875704,0.751861034377134,0.685706583711841,0.915648034370842,0.793130145599462,0.778650216940704,0.703656568107816,0.964424338114478,0.623715789790718,0.612577591919062,0.551081837763441,0.769561181393003,2.64444589671768,2.59587108066426,2.3583463933676,3.19338769833082,0.219541824485576,0.216673457351605,0.175746544623056,0.285650704245099,0.354723327122143,0.349858136144645,0.281299128920749,0.470064344819901,0.360555828716977,0.355429412453571,0.284224842033844,0.48484146369658,0.281936014416377,0.277880029117496,0.221976571517972,0.382015145008691,0.000833387363978265,0.000706965217844463,0.000259639487843392,0.0030936657524785,0,0,0
2020-03-02,Ventura County,6111,0.000768538369648041,0.000778713489903619,0.000437128286060185,0.00154778280118946,0.00210031539102572,0.00207735397289395,0.00118532261502904,0.00406731534437229,0.028985977736936,0.0278617535085674,0.0164074985393814,0.0563200761920932,0.0987911217723707,0.0997116730287327,0.0610180023557375,0.18205501699198,0.13064595326998,0.130429494000098,0.0792177214851066,0.245615746296358,0.000291746643484596,0.000298705329971579,0.000191502029639592,0.000472894961018635,0.000800893619310903,0.000799187301830846,0.00051984272977609,0.00125001444707117,0.0110902124767619,0.0107573044918693,0.00720823365090222,0.0174860357313905,0.0373605686942518,0.0379031553817588,0.0264822383308618,0.0558136643270589,7.70611885812226e-05,7.08571118635883e-05,3.45314154001222e-05,0.000180034729321067,0.000207072039207061,0.000186568484716998,9.38080197018147e-05,0.000472593199820015,0.00278963383903514,0.00243907277126401,0.0012664739689541,0.00621037068551013,0.0194989222371169,0.0179311993862955,0.00976226270279815,0.0448178095838161,0.0225726893039403,0.0206276977541401,0.0111852270531807,0.0516960162321572,0.536461722344533,0.527087905574146,0.4615828330069,0.642677896497914,0.896982962444778,0.881541152428413,0.766448819321447,1.08536877626946,0.934842195614219,0.919159357690282,0.793548218177379,1.14804073464638,0.738231512535632,0.726387516891677,0.62415736080892,0.919606051998835,3.10651839293916,3.05417593258452,2.64573723131465,3.79569345941259,0.26454740944739,0.260035420277037,0.220802724534281,0.334863058950855,0.431307198680866,0.4237532469721,0.356536086121127,0.555111018617264,0.441096745545504,0.433224597085036,0.362186255727433,0.576377579612475,0.34561139170902,0.339437078329081,0.283162552739609,0.456031599615075,0.00182368572676363,0.00160920864777974,0.000755013675895532,0.00533795267438757,0,0,0
2020-03-03,Ventura County,6111,0.00113972259525493,0.00116032709712696,0.000719655460118126,0.00205907227767106,0.00313068956253529,0.00310908498283462,0.00195879484873345,0.00543514154527289,0.0432875451881315,0.0417989295899818,0.0271738887804516,0.0754459026978749,0.147923708236268,0.149888307101894,0.101359073578925,0.244655257835873,0.19548166558219,0.195956648771837,0.131539151801098,0.329616206687719,0.000385143206398913,0.000394368775698182,0.000275992836143119,0.000577747533548016,0.00106499723579823,0.00106237455162203,0.000753805443866506,0.0015374007990192,0.0148105534813995,0.0143667344502949,0.0104963593590248,0.0216042205548294,0.0500124258993467,0.050702942454669,0.0386462203686296,0.0693078232925204,0.000127650818046752,0.000119580388994454,6.70378603809065e-05,0.00025564889402756,0.000344089282356718,0.000315400102073423,0.000181928432609904,0.000672583304453579,0.00461937887314459,0.00411196588124038,0.00244912256724177,0.00882199310355765,0.0322855386953545,0.0302004941722798,0.0188820241901166,0.0637286437998208,0.0373766576689026,0.034747440544588,0.0216291650923658,0.0734788691018596,0.636973628263785,0.625608039094719,0.538883178192168,0.761611882181113,1.06963983712319,1.05081839869705,0.901135169037746,1.28882656697127,1.12011510257827,1.10105376610335,0.939174004075026,1.36769746368268,0.88771984316918,0.873490566176199,0.741938022015649,1.09889900939631,3.71444841113443,3.65097077007132,3.12113037332059,4.51703492223139,0.315131559282336,0.30907723124513,0.265661158161681,0.393554936904986,0.518021830534136,0.507901629138941,0.433011654461284,0.656318641643608,0.533046155348116,0.522546871896114,0.442694076712184,0.685488295971824,0.418776766289569,0.410606183207819,0.34680870246881,0.544568209533042,0.00346227775332406,0.00312741039734919,0.00171292190611753,0.00852711349158509,0,0,0
2020-03-04,Ventura County,6111,0.00158914745784004,0.00162218921616991,0.00107199781212981,0.00265789833225416,0.00438690645388592,0.00436629444247713,0.0029300018750428,0.00704796267305489,0.060794057411739,0.0588550448569428,0.04080470650321,0.0980626436288441,0.208178796256159,0.21143204438259,0.152524275477979,0.319017049064443,0.274948907579624,0.27627557289818,0.197863765398019,0.429185316897221,0.00048628717619855,0.000497799271251657,0.000364447614248877,0.000696241988916535,0.00135414114186366,0.00135014140190509,0.00100188715665272,0.00186742752470842,0.0189206425490535,0.0183495603288771,0.0140491851531783,0.0263096133336032,0.0640491716460903,0.064898285097432,0.0518064376766476,0.084845692587054,0.000193543375285006,0.000183619787924722,0.000112767950606868,0.000346807594946438,0.000523265515229453,0.000485293895116716,0.000305929176249569,0.000914580803804576,0.00700505405311534,0.00631245068450698,0.00410798310662449,0.0119797926746773,0.0489570765034668,0.0463333459382547,0.0316859992497362,0.0866285611866125,0.0566789394470966,0.0533147103058031,0.0362859898107056,0.0998697422600409,0.761871356308135,0.747591819989411,0.641106147694084,0.903814889802748,1.28285980554233,1.25916747442275,1.07659930844478,1.53169460225996,1.34814421104513,1.32420039252104,1.12739977450885,1.62956419484775,1.0715636538381,1.05380065708739,0.893957800004811,1.31247399524425,4.4644390267337,4.38476034402059,3.73906303065253,5.3775476821547,0.375008456995955,0.367205037552074,0.316482182250407,0.463734663910545,0.620746540702426,0.607697323172807,0.520167120951855,0.777041872345314,0.642381212098146,0.628884804723576,0.535129315685774,0.815698023862062,0.506170602313339,0.495741620712083,0.420415519707355,0.650437750233909,0.00594513992851923,0.00545451494038885,0.0033198906573563,0.0128614763178719,0,0,0
