"","date","county","fips","hosptot_mean","hosptot_CI95l","hosptot_CI95u","icutot_mean","icutot_CI95l","icutot_CI95u","cummort_mean","cummort_CI95l","cummort_CI95u"
"1","0","0",0,0,0,0,0,0,0,0,0,0
"2","2020-03-02","Alameda County",6001,0,0,0,0,0,0,0,0,0
"3","2020-03-03","Alameda County",6001,0.00293007742501437,0.00140590835654425,0.0051621911368474,6.01611010547511e-05,2.88955852150898e-05,9.97775752165253e-05,2.43934234376699e-06,1.01029345858692e-06,3.9587259849844e-06
"4","2020-03-04","Alameda County",6001,0.0203537097572827,0.010130685131328,0.0348986720827363,0.000812945555495432,0.000403034365637101,0.00131805329289636,3.53449614848225e-05,1.50980912329077e-05,5.60148710393808e-05
"5","2020-03-05","Alameda County",6001,0.0620426652692848,0.0320646238689405,0.103625141699442,0.00357289787873165,0.00183153194326507,0.00568763336478737,0.00017971535536625,7.90844688847123e-05,0.000279926436674014
"6","2020-03-06","Alameda County",6001,0.137825760039734,0.074047226298872,0.223656239643573,0.0100706489517669,0.00535124756743404,0.015764641074609,0.000585954531677831,0.000265716905016682,0.000900236379495318
"7","2020-03-07","Alameda County",6001,0.261158013511243,0.14603240747773,0.413938065535863,0.0225127469493675,0.0124175165962132,0.0347085603309349,0.00149263841470841,0.000698398290736043,0.00226463572880462
"8","2020-03-08","Alameda County",6001,0.452163933168779,0.263473903153406,0.703496254736179,0.0438641117697014,0.0251040631691708,0.0667335535054362,0.00325660759277623,0.00157487950702186,0.00488428387791797
"9","2020-03-09","Alameda County",6001,0.741293528033201,0.45064768381346,1.13388448096253,0.0783138100390121,0.0465519171638822,0.117718206208778,0.00640171852525271,0.0032062196632831,0.00949963757871952
"10","2020-03-10","Alameda County",6001,1.17444673800222,0.74998158245961,1.76795629567946,0.131963721029878,0.0814517585594202,0.196203086663747,0.0116951275035534,0.00607525738606045,0.0171839659394077
"11","2020-03-11","Alameda County",6001,1.82050525063112,1.22058095692703,2.70073625263512,0.213836249105604,0.137509920963684,0.315422539243588,0.0202637996167377,0.0109351373788059,0.0295198519511406
"12","2020-03-12","Alameda County",6001,2.78253823423475,1.94355049957901,4.08447001592161,0.337357702540268,0.22674155054072,0.493573143583091,0.0337701650547748,0.0189484811948763,0.0485510100336161
"13","2020-03-13","Alameda County",6001,4.21451836902727,3.06324592692037,6.13132686766376,0.52255501800251,0.367111610658615,0.752208960376022,0.0546752970558927,0.0319178391011446,0.0775694738123391
"14","2020-03-14","Alameda County",6001,6.34626565871351,4.82214211124852,9.11052389885457,0.799321091996556,0.580102788491202,1.13221864178705,0.0866321045075702,0.0526801219944565,0.121736691872442
"15","2020-03-15","Alameda County",6001,9.52065896551893,7.50709371121814,13.5972350773978,1.21227812621727,0.91275488258017,1.69973865086662,0.135072057068017,0.0850445753637853,0.188013629625241
"16","2020-03-16","Alameda County",6001,14.2491198725479,11.3564890836846,20.3228224093669,1.82802722506031,1.4173898849665,2.54786949128381,0.208080243442149,0.136850319134287,0.286575104028741
"17","2020-03-17","Alameda County",6001,21.2942726414144,16.9518671709465,29.995854583412,2.74595651662142,2.1430509088366,3.79946619912577,0.31770005672001,0.215192251853244,0.432887440228986
