date,county,fips,hosptot_mean,hosptot_CI95l,hosptot_CI95u,icutot_mean,icutot_CI95l,icutot_CI95u,cummort_mean,cummort_CI95l,cummort_CI95u
2020-06-28,Stanislaus County,6099,87.1270755956496,81.4890128623699,91.795662160941,19.254530524298,17.2297737536831,20.5488081408316,35.2114346608335,32.4574844642881,38.2056196078755
2020-06-29,Stanislaus County,6099,93.0007840839513,87.5559957948806,97.5667312320266,19.9652016195254,17.8135579614007,21.2930813069878,36.627459190825,33.805072035459,39.607991178395
2020-06-30,Stanislaus County,6099,99.6500727787333,94.4018570698844,104.116831374502,20.8071370495511,18.5418500632187,22.1637940483024,38.1032626206875,35.2776835553347,40.9695256657226
2020-07-01,Stanislaus County,6099,107.152950151576,102.630179626786,111.621386072395,21.7981556622191,19.4358848642968,23.2385252754464,39.6494807557513,36.8357681877668,42.3735799159896
2020-07-02,Stanislaus County,6099,115.447984096502,111.130882038149,120.021864937755,22.9554142639565,20.5550727721023,24.4824736078984,41.2779618703653,38.4832678693188,44.0117506300229
2020-07-03,Stanislaus County,6099,124.038165762727,119.723342215658,128.503676764581,24.2890098626906,21.833074513395,25.88611416633,43.001228559864,40.2364607777613,45.7836181588235
2020-07-04,Stanislaus County,6099,132.567364011166,128.200582567328,136.885386430242,25.7991295382324,23.3097039062754,27.4293770400394,44.8317391906283,42.1012938491375,47.5722607738258
2020-07-05,Stanislaus County,6099,140.85286701237,136.366010905847,145.376490333045,27.4784331200528,24.9798140874637,29.1524307106743,46.7813555375878,44.0884439361109,49.4835324014857
2020-07-06,Stanislaus County,6099,148.799768683627,144.253923013036,153.440768665866,29.312797168485,26.8282766285509,31.0233992827678,48.8608817772817,46.2053205040204,51.5628415307397
2020-07-07,Stanislaus County,6099,156.356738308297,151.668580310627,161.358675288148,31.2819322022042,28.8490248098694,33.0337969176247,51.0796526086545,48.457390175434,53.7943428111713
2020-07-08,Stanislaus County,6099,163.493937146252,158.546245547675,168.684978560293,33.3605003030021,31.0030919211364,35.1499087455699,53.4451992336288,50.8198616283764,56.1901939887124
2020-07-09,Stanislaus County,6099,170.192503469221,164.955151371835,175.368024393583,35.5196483975149,33.2496071409216,37.3252507943312,55.9630196401442,53.339231479822,58.7423095035859
2020-07-10,Stanislaus County,6099,176.439873906686,170.923002170406,181.555413780458,37.7286938600873,35.5598300800321,39.5232218907924,58.6364630414243,55.9972853222282,61.4107298027965
2020-07-11,Stanislaus County,6099,182.227897810989,176.474718272272,187.28593055094,39.9567254295743,37.906734343087,41.7092347994502,61.4667226355401,58.7903126013491,64.22755595317
2020-07-12,Stanislaus County,6099,187.55217551275,181.683298334036,192.704584683461,42.1739662045268,40.1166799415585,43.916322546801,64.4529205240185,61.7461505047636,67.2352409317785
2020-07-13,Stanislaus County,6099,192.411846587056,186.507363212021,197.709659786743,44.3528270910023,42.3317738423277,46.0965132270446,67.5922637526122,64.8557951259919,70.4210551231061
2020-07-14,Stanislaus County,6099,196.809473578668,190.93457205558,202.235632107024,46.4686396088098,44.4845048941187,48.1924436831556,70.8802496634943,68.1035645006301,73.7428165334004
2020-07-15,Stanislaus County,6099,200.750880409737,194.994529602261,206.312135862764,48.5000947098803,46.6074112641629,50.2418122173029,74.310900551003,71.4770258097286,77.2017883078435
2020-07-16,Stanislaus County,6099,204.244908003954,198.621894031408,209.913457861758,50.4294336147051,48.536699846983,52.1903982470339,77.8770107434839,74.9858447634309,80.7908558129563
2020-07-17,Stanislaus County,6099,207.303095062819,201.782427283771,213.044998347577,52.2424432054044,50.2746316312868,54.0106905986046,81.570392815576,78.6257975309051,84.5019854361269
2020-07-18,Stanislaus County,6099,209.939308091514,204.396792318827,215.722419593494,53.9283070958378,51.921251504725,55.6961931758747,85.3821131231656,82.3868798460305,88.3268197906862
2020-07-19,Stanislaus County,6099,212.169347049229,206.631293016017,217.963452438541,55.4793577738662,53.4582139629406,57.2604286670587,89.3027099511906,86.2566525600011,92.2646205949376
2020-07-20,Stanislaus County,6099,214.010549401451,208.581386816727,219.714517600428,56.890767647857,54.8477310845553,58.6838255249163,93.322390145951,90.2212748518513,96.2778572045372
2020-07-21,Stanislaus County,6099,215.481409891221,210.170035600032,221.066520677912,58.1602089638813,56.0985822713803,59.959377895299,97.4312021475037,94.2659043835655,100.391609158052
2020-07-22,Stanislaus County,6099,216.601227899319,211.42118086962,222.052908835571,59.2875052550564,57.2032824326692,61.0870210855163,101.619184882378,98.3946111743156,104.619472555096
2020-07-23,Stanislaus County,6099,217.389789597428,212.325163452215,222.695390159095,60.2742906546618,58.1721940177126,62.0685467240098,105.87649308897,102.597498012454,108.92591205568
2020-07-24,Stanislaus County,6099,217.867088429917,212.845042486232,223.026397490471,61.1236881843871,59.014139921538,62.9067906054795,110.193500403554,106.86485109266,113.27420305034
2020-07-25,Stanislaus County,6099,218.053084750572,213.043380555724,223.077356085052,61.8400139908815,59.7328896095116,63.6252153979491,114.560882007939,111.2190039372,117.651346903301
2020-07-26,Stanislaus County,6099,217.967503550861,212.928570217633,222.855215601317,62.4285113367364,60.327828067146,64.2298551981412,118.969678896831,115.649107533252,122.0816843722
2020-07-27,Stanislaus County,6099,217.629667981389,212.570916861962,222.430745250234,62.8951158108651,60.8032308703533,64.7280028940327,123.41134592041,120.11528513285,126.560316973487
2020-07-28,Stanislaus County,6099,217.058365632592,211.988569838554,221.799095496524,63.2462515573093,61.1719155200413,65.0458833626662,127.877785741585,124.609007129776,131.066316009569
2020-07-29,Stanislaus County,6099,216.271744171752,211.199053785783,220.861305045946,63.488657190446,61.4399698340875,65.2594071843258,132.361370754447,129.122221821647,135.568029025631
2020-07-30,Stanislaus County,6099,215.287232824199,210.244427213645,219.6985878022,63.6292393456408,61.607960912758,65.4156517681887,136.854954868572,133.582996139304,140.062270285386
2020-07-31,Stanislaus County,6099,214.121486254068,209.251538344965,218.349821779621,63.674951404718,61.6747067264292,65.4883426354975,141.351876894277,138.02456560751,144.605510934512
2020-08-01,Stanislaus County,6099,212.790347581634,208.116330832566,216.846021355476,63.6326947516763,61.660162826321,65.4740857465705,145.845957081952,142.467565653339,149.117858042124
2020-08-02,Stanislaus County,6099,211.308827524211,206.832541573097,215.2364559502,63.5092398898217,61.5704854823981,65.3173492954077,150.331488185095,146.90632305098,153.620121035897
2020-08-03,Stanislaus County,6099,209.691096932717,205.419385677328,213.515582637169,63.3111648357769,61.3962443413677,65.0798253052644,154.803222239069,151.335606373629,158.117891618025
2020-08-04,Stanislaus County,6099,207.95049029337,203.822791838012,211.71457652363,63.0448083599673,61.1514302057967,64.7704293463034,159.25635408059,155.817540562063,162.609121311909
2020-08-05,Stanislaus County,6099,206.099518057858,202.105749924103,209.815158942276,62.7162358384118,60.8598657205593,64.3957088855993,163.686502479333,160.29080865022,167.082234870583
